Unit,Value
atom,1.66E-27
average daily faeces excreted, 0.5
fattest man, 640
boris johnson, 78
steam train, 200000
Great Pyramid, 5750000000
mosquito, 0.00005
piece of paper, 0.0045
2p coin, 0.007
rat, 0.2
loaded m4a1 rifle, 3.32
largest redwood tree, 2000000
male impala, 60
uncooked McDonald burger, 0.045
Earth,5.974E+24
Sun,1.989E+30
Pint of beer,0.567816
Average apple,0.85
Average pineapple,0.905
Feather,0.0082
1kg dumbell,1
Thor's Hammer,19.18696
small piano,136.1
large piano,408.2
Gold bar,12.4
individual bee,0.000113398
average male polar bear, before dinner,450
average female polar bear,200
average male grizzly bear, but its angry,270
average female grizzly bear,165
average emperor penguin,23
average little penguin,1.5
average Galapagos penguin,2.5
male lion,190
female lion,130
African bush elephant, oh lawd he comin,6000
Asian elephant,5400
A bus ,14514.956
Litres of water,1
A 1p coin,0.00356
Average American,88.8
An Atom,1.07E-26
Can of Stella ,0.5829
Human Brain,1.336
Worker ant,0.0000005
A 2p coin,0.00712
A 5p coin,0.00325
A 10p coin,0.0065
A 20p coin,0.005
A 50p coin,0.008
A pound coin,0.0095
A 2 pound coin,0.012
Average chicken egg,0.068
average ostrich egg,1.4
1 kg bags of flour,1
one tonne bag an maximum weight,1000
brick,3.5
Tesla model S,2150
Blue whale,140000
Minke whale,5600
Eastern Gray Squirrel ,500
R2-D2,32
C3PO,75
BB-8,12
Titanic,52310000000
Clifford the Big red dog,87000
12lb Cannonball,5.44311
A dog called Poppy,10
Empty Spitfire,1953
Mount Everest,1.61932E+14
Deck of cards,0.096
Bit of 2x4,4.98952
Poker chip,0.0115
Pokemon card,0.00167
Pikachu,5.987419
Charizard,90.491678
Monster Truck,4535.924
2017 Worlds strongest man,164
2x2 Lego brick,0.001152
2x4 Lego brick,0.0025
Chameleon but its invisible ,0.01
Hauberk of chain mail,10
M67 hand grenade without the pin,0.4
golf ball,0.04593
Mr Incredible ,158.757
Thanos,447
A stonehenge stone,25000
Tin of baked beans,0.415
Big Ben,13700
Snooker ball,0.155922
Master Chief,130
Homer Simpson,108.409
Boeing 747,333400
A shilling,0.00566
Brontosaurus ,19000
Bullet train,715000
Weight of all 95 million of PewDiePies 9 year old subcribers ,2669500000
Weight of all the people John Wick has killed ,18538
Boromir before he got shot ,74
